               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099025,            0.040473,            0.027586,             0.18714,             0.46538,              0.1416,            0.053816,            0.073616,            0.035814,            0.023537,            0.070536,           0.0032738,           0.0032738
                   1,            0.070992,            0.033512,            0.023716,             0.26962,             0.52762,              0.2544,            0.090529,            0.063195,            0.020629,            0.021545,            0.040492,           0.0065635,           0.0065635
                   2,             0.06886,             0.02866,            0.020224,              0.4699,             0.65218,             0.52005,             0.15047,            0.060613,            0.017476,             0.01601,            0.010405,           0.0098093,           0.0098093
                   3,            0.061394,            0.026823,            0.014592,             0.58758,              0.6791,              0.6245,             0.24733,            0.050183,            0.016687,            0.011191,            0.009802,            0.009802,            0.009802
                   4,            0.053617,            0.024866,            0.011821,             0.66516,             0.70345,             0.72051,             0.31863,            0.044079,            0.014893,            0.010607,            0.009802,            0.009802,            0.009802
                   5,             0.04692,            0.023872,            0.010276,             0.79097,             0.77496,             0.86713,              0.5462,            0.032971,            0.014507,           0.0089035,            0.009736,            0.009736,            0.009736
                   6,            0.042649,            0.023533,           0.0095776,             0.67474,             0.77231,             0.77905,              0.3659,            0.042894,            0.014853,           0.0099304,             0.00967,             0.00967,             0.00967
                   7,            0.041485,            0.022528,           0.0083478,             0.79787,             0.81624,             0.85337,             0.49654,            0.035842,            0.014548,            0.010905,            0.009604,            0.009604,            0.009604
                   8,            0.039451,            0.020806,           0.0073184,             0.83734,             0.81173,             0.88762,             0.51898,            0.036944,            0.014172,           0.0076708,            0.009538,            0.009538,            0.009538
                   9,            0.037732,            0.020479,           0.0072588,             0.79392,             0.81034,              0.8654,             0.52004,            0.033354,            0.014519,           0.0072912,            0.009472,            0.009472,            0.009472
                  10,            0.035788,            0.020631,           0.0068157,             0.80853,             0.83799,             0.89031,             0.56067,            0.032606,            0.014681,           0.0087489,            0.009406,            0.009406,            0.009406
                  11,            0.035958,            0.020396,            0.006424,             0.83524,             0.87142,             0.89663,             0.52584,            0.032443,            0.014574,           0.0071055,             0.00934,             0.00934,             0.00934
                  12,            0.034982,            0.020122,           0.0060002,             0.84363,             0.85797,             0.88737,             0.59352,            0.030633,            0.013777,           0.0075793,            0.009274,            0.009274,            0.009274
                  13,            0.033877,            0.020183,           0.0058322,              0.8401,             0.80372,             0.87781,             0.59672,            0.028011,            0.013721,            0.010175,            0.009208,            0.009208,            0.009208
                  14,             0.03306,            0.019071,           0.0047012,             0.84899,             0.81986,             0.87873,             0.60662,            0.029335,            0.013881,           0.0083458,            0.009142,            0.009142,            0.009142
                  15,            0.032286,             0.01908,           0.0055134,             0.86714,             0.84607,             0.89893,             0.63299,            0.026362,            0.013368,           0.0072225,            0.009076,            0.009076,            0.009076
                  16,            0.031944,            0.018664,           0.0055918,             0.80675,             0.83081,             0.87107,             0.64064,            0.025043,             0.01341,            0.010236,             0.00901,             0.00901,             0.00901
                  17,            0.031829,            0.019366,           0.0052524,             0.84309,             0.85007,             0.88352,             0.66482,            0.024214,            0.013175,           0.0076452,            0.008944,            0.008944,            0.008944
                  18,            0.030247,             0.01795,           0.0048091,             0.84138,             0.82735,             0.90513,             0.65948,            0.023821,            0.012791,           0.0079419,            0.008878,            0.008878,            0.008878
                  19,            0.030374,            0.018468,           0.0041792,             0.85433,             0.88303,             0.90503,             0.65448,            0.024984,            0.013646,           0.0065422,            0.008812,            0.008812,            0.008812
                  20,            0.030024,            0.017781,           0.0040568,             0.88145,              0.8442,             0.90259,             0.65147,             0.02602,            0.013617,           0.0064814,            0.008746,            0.008746,            0.008746
                  21,             0.03002,            0.018266,           0.0046324,             0.85598,             0.86748,             0.90163,             0.67582,            0.024901,            0.013416,           0.0070409,             0.00868,             0.00868,             0.00868
                  22,            0.029443,            0.018019,           0.0039117,             0.84719,             0.88105,             0.90826,             0.67281,            0.023773,             0.01349,           0.0065445,            0.008614,            0.008614,            0.008614
                  23,            0.029175,            0.017693,           0.0036036,             0.88041,              0.7538,             0.86915,             0.62116,            0.026602,            0.013134,            0.011868,            0.008548,            0.008548,            0.008548
                  24,            0.028076,            0.017154,           0.0037195,             0.86823,             0.81731,             0.88177,             0.68216,            0.021389,            0.013602,           0.0076508,            0.008482,            0.008482,            0.008482
                  25,            0.027714,            0.017414,           0.0037704,             0.83825,             0.85966,             0.88931,             0.68814,            0.021994,            0.013164,           0.0081543,            0.008416,            0.008416,            0.008416
                  26,             0.02778,            0.017077,           0.0036191,             0.85959,             0.82403,             0.89925,             0.63578,            0.023534,            0.013786,            0.008166,             0.00835,             0.00835,             0.00835
